Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-03-07,302.899994,303.200012,297.420013,303.01001,274.340637,1255500,260
2019-03-08,300.570007,301.690002,298.769989,300.950012,272.475464,1054100,261
2019-03-11,299.619995,304.579987,298.630005,304.399994,275.599091,1294400,262
2019-03-12,304.600006,305.309998,300.790009,301.920013,273.353729,1248800,263
2019-03-13,303.059998,304.559998,301.119995,303.450012,274.738953,1133400,264
2019-03-14,303.420013,304.459991,298.320007,298.51001,270.266388,1178400,265
2019-03-15,298.859985,299.230011,293.769989,296.149994,268.129639,4516500,266
2019-03-18,295.869995,298.359985,293.269989,297.640015,269.478668,1793600,267
2019-03-19,299.480011,302.140015,295.440002,296.600006,268.537109,1504000,268
2019-03-20,296.910004,298.709991,295.059998,295.980011,267.975708,1321800,269
2019-03-21,295.369995,300.070007,295,299.01001,270.719025,1145700,270
2019-03-22,297.649994,298.399994,293.880005,294.01001,266.192078,942800,271
2019-03-25,294.410004,295.820007,292.529999,294.119995,266.291748,779700,272
2019-03-26,296.089996,297.600006,292.690002,294.920013,267.016022,882300,273
2019-03-27,295.619995,297.890015,292.850006,293.950012,266.137848,835600,274
2019-03-28,295.029999,295.940002,293.649994,295.600006,267.631683,567100,275
2019-03-29,297.5,300.589996,296.73999,300.160004,271.760254,1212000,276
2019-04-01,302.559998,306.109985,301.839996,304.290009,275.499512,1153900,277
2019-04-02,304.869995,306.779999,302.869995,303.100006,274.422058,872600,278
2019-04-03,303.609985,304.399994,296.140015,297.269989,269.143646,1178300,279
2019-04-04,298.160004,302.049988,297.890015,299.670013,271.31665,789500,280
2019-04-05,299.910004,302.660004,299.709991,302.579987,273.951233,705200,281
2019-04-08,301.98999,305.859985,300.670013,305.660004,276.739746,1121400,282
2019-04-09,304.359985,304.579987,301.190002,302.679993,274.041779,867100,283
2019-04-10,302.230011,302.350006,297.329987,299.119995,270.818665,1226200,284
2019-04-11,300.230011,305.829987,300,305.589996,276.676483,829500,285
2019-04-12,307,309.779999,306.029999,309.700012,280.397675,891800,286
2019-04-15,309.959991,310,307.540009,308.709991,279.501312,864800,287
2019-04-16,309.220001,310.630005,308.100006,310.059998,280.723541,833900,288
2019-04-17,311.220001,312.429993,309.779999,310.5,281.121948,1041400,289
2019-04-18,311.029999,314.570007,309.470001,314.26001,284.526123,1107100,290
2019-04-22,314.25,316.26001,313.269989,315.26001,285.431549,1319000,291
2019-04-23,326.519989,337.320007,324.519989,333.100006,301.583588,3425800,292
2019-04-24,333.899994,335.779999,327.839996,330.119995,298.885559,2089900,293
2019-04-25,330.25,334.230011,328.459991,328.869995,297.753754,1506500,294
2019-04-26,329.600006,330.75,327.079987,328.329987,297.264893,873200,295
2019-04-29,328.399994,331.149994,327.209991,328.589996,297.500275,969100,296
2019-04-30,329.519989,333.859985,328.459991,333.329987,301.79184,990000,297
2019-05-01,334.25,337.209991,331.579987,331.850006,300.451904,1104300,298
2019-05-02,332.01001,332.700012,328.23999,332.549988,301.085663,962300,299
2019-05-03,333.579987,335.640015,331.200012,334.070007,302.461853,806700,300
2019-05-06,330.5,336.529999,330.170013,335.720001,303.95575,812800,301
2019-05-07,334.73999,334.73999,328.839996,330.899994,299.591736,1176400,302
2019-05-08,330.899994,336.880005,330.350006,334.179993,302.561401,1083800,303
2019-05-09,334,340.329987,331.940002,339.359985,307.251343,1496500,304
2019-05-10,337.410004,341.619995,335.269989,341.350006,309.053009,1204900,305
2019-05-13,335.25,339.75,333.200012,335.369995,303.638824,1504000,306
2019-05-14,336.01001,340.920013,334.75,336.170013,304.363159,1171600,307
2019-05-15,335.290009,335.709991,329.929993,334.149994,302.534241,1127000,308
2019-05-16,335.920013,339.649994,334.850006,339.390015,307.278442,1092100,309
2019-05-17,336.459991,340.950012,336.459991,337.98999,306.010895,1268400,310
2019-05-20,337.23999,344.290009,337.23999,342.01001,309.650604,1388200,311
2019-05-21,343.600006,344.799988,339.5,343.950012,311.407013,1097800,312
2019-05-22,343.290009,343.290009,339.880005,341.299988,309.007721,1049300,313
2019-05-23,339.720001,341.440002,336.079987,340.070007,307.894135,1461200,314
2019-05-24,340.670013,341.619995,337.269989,338.779999,306.726166,1293100,315
2019-05-28,338.959991,341.279999,337.100006,337.890015,305.92038,3559400,316
2019-05-29,336.779999,340.359985,335.279999,339.339996,307.233215,1184400,317
2019-05-30,340,343.480011,339.75,341.959991,309.605255,859100,318
2019-05-31,337.589996,341.140015,337.48999,338.540009,308.493591,1024000,319
2019-06-03,338.079987,344.779999,337.899994,344.570007,313.988434,1345100,320
2019-06-04,345.880005,349.679993,345.880005,349.350006,318.344177,1573300,321
2019-06-05,349.98999,352.859985,348.51001,352.700012,321.396851,1750500,322
2019-06-06,353.369995,354.339996,350.149994,352.519989,321.232819,1149800,323
2019-06-07,353.450012,356.149994,352.399994,355.230011,323.702362,1125800,324
2019-06-10,357.970001,358.630005,350.730011,351.600006,320.39447,1356200,325
2019-06-11,352.01001,352.549988,340.869995,344.040009,313.505463,1684300,326
2019-06-12,344.230011,346.140015,342.320007,345.51001,314.844971,1131900,327
2019-06-13,347.579987,349.709991,344.399994,349.079987,318.098114,1203900,328
2019-06-14,349.079987,352.459991,348.440002,350.140015,319.064117,1059400,329
2019-06-17,351.220001,352.410004,346.76001,348.690002,317.742737,904200,330
2019-06-18,349.48999,354.279999,348.390015,353.519989,322.144012,826400,331
2019-06-19,353.76001,356.549988,353.190002,355.730011,324.157928,816500,332
2019-06-20,357.769989,363.329987,357.709991,362.799988,330.600403,1048800,333
2019-06-21,362.230011,362.73999,357.570007,359.359985,327.465698,1544700,334
2019-06-24,360.440002,362.880005,359.73999,359.980011,328.030701,1766700,335
2019-06-25,360,362.799988,359.73999,360.559998,328.559235,1168900,336
2019-06-26,361.640015,362,357,359.5,327.593353,977700,337
2019-06-27,359.929993,360.519989,357.26001,359.089996,327.219696,826500,338
2019-06-28,359.480011,363.75,357.670013,363.540009,331.274811,1369600,339
2019-07-01,365.410004,366.769989,361.049988,361.470001,329.388458,1003900,340
2019-07-02,361.579987,367.570007,361.070007,367.570007,334.947113,1052800,341
2019-07-03,367.940002,370.470001,365.350006,370.380005,337.50769,742100,342
2019-07-05,369.880005,370.829987,366.670013,369.920013,337.088501,716900,343
2019-07-08,368.540009,369.920013,366.779999,369.179993,336.414154,646600,344
2019-07-09,367.75,370.25,366.100006,369.730011,336.915405,651000,345
2019-07-10,370,373.369995,367.839996,368.160004,335.48468,818700,346
2019-07-11,368.160004,369.380005,366.209991,368.230011,335.548462,1358000,347
2019-07-12,369.200012,369.51001,366.829987,369.450012,336.660248,1148700,348
2019-07-15,369.839996,370.01001,366.899994,367.690002,335.056366,1010700,349
2019-07-16,368,368.420013,365.160004,365.350006,332.924133,1027100,350
2019-07-17,365.350006,365.470001,357.850006,358.470001,326.654724,1867000,351
